制約タイプ,対象,条件,内容,優先度
固定教科,道徳,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,道,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,学活,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,学,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,学総,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,YT,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,欠,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,総合,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,総,全時間帯,input.csvの位置から移動禁止,絶対
固定教科,行,全時間帯,input.csvの位置から移動禁止,絶対
配置禁止,道徳・道・学活・学・学総・YT・欠・総合・総・行,空白セル,空白セルへの配置禁止,絶対
配置禁止,道徳・道・学活・学・学総・YT・欠・総合・総・行,既存教科セル,他教科がある場所への配置禁止,絶対
空欄扱い禁止,欠,全時間帯,欠は授業の一種として扱い空欄として埋めない,絶対
空欄扱い禁止,学,全時間帯,学活は授業の一種として扱い空欄として埋めない,絶対
空欄扱い禁止,学総,全時間帯,学年総合は授業の一種として扱い空欄として埋めない,絶対
空欄扱い禁止,YT,全時間帯,YTは授業の一種として扱い空欄として埋めない,絶対
特殊処理,欠課,全時間帯,教員重複チェックから除外,高
システム設定,Follow-up.csv,全操作,読み取り専用（書き込み禁止）,高
5組同一教科,1年5組・2年5組・3年5組,全時間帯,必ず同じ時限に同じ教科を行う,絶対
5組教員設定,1年5組・2年5組・3年5組,全教科,同一教科は1名の教員が3クラス合同で担当,絶対
5組教員制限,1年5組・2年5組・3年5組,全時間帯,5組合同授業の教員は同時刻に他の通常学級を担当不可,絶対
交流学級設定,1年6組,親学級=1年1組,自立以外は親学級と同じ教科,絶対
交流学級設定,1年7組,親学級=1年2組,自立以外は親学級と同じ教科,絶対
交流学級設定,2年6組,親学級=2年3組,自立以外は親学級と同じ教科,絶対
交流学級設定,2年7組,親学級=2年2組,自立以外は親学級と同じ教科,絶対
交流学級設定,3年6組,親学級=3年3組,自立以外は親学級と同じ教科,絶対
交流学級設定,3年7組,親学級=3年2組,自立以外は親学級と同じ教科,絶対
交流学級自立時,1年6組・2年6組・3年6組,自立活動時,親学級には数または英を配置,絶対
交流学級自立時,1年7組・2年7組・3年7組,自立活動時,親学級には数または英を配置,絶対
自立同期実施,1年6組・2年6組・3年6組,同一時限,数学系は同一時限,高
自立同期実施,1年7組・2年7組・3年7組,同一時限,英語系は同一時限,高
日内教科制限,全クラス,同一日内,同一教科は1日1コマまで（2回以上配置禁止）,絶対
,,,,
,,,,
,,,,
会議ロック,初研,火曜の3時間,該当教員の授業禁止（初任者教員要確認）,絶対
非常勤制約,青井（美術）,月曜・火曜全時限,配置禁止,絶対
非常勤制約,青井（美術）,水曜1・5・6校時,配置禁止,絶対
非常勤制約,青井（美術）,木曜4・5・6校時,配置禁止,絶対
非常勤制約,青井（美術）,金曜1・5・6校時,配置禁止,絶対
非常勤制約,青井（美術）,水曜2・3・4校時,配置可能,絶対
非常勤制約,青井（美術）,木曜1・2・3校時,配置可能,絶対
非常勤制約,青井（美術）,金曜2・3・4校時,配置可能,絶対
施設制約,保健体育,体育館,同一時限1クラスまで,絶対
2. 標準時数の調整,,,,
各クラスの必要時数に近づいていても、オーバーしてもいいので週の出現回数が多い教科のを優先的に使って全部の空白や非〇を埋めてください。,,,,
