基本時間割,月,月,月,月,月,月,火,火,火,火,火,火,水,水,水,水,水,水,木,木,木,木,木,木,金,金,金,金,金,金
,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
1年1組,国,英,英,数,理,YT,英,理,社,数,家,保,数,理,社,保,国,理,数,英,国,道,音,社,英,美,保,英,社,理
1年2組,国,国,理,数,数,YT,国,数,英,社,国,理,家,理,英,社,国,音,国,保,理,道,音,英,理,数,美,英,保,国
1年3組,国,国,英,音,数,YT,理,国,数,美,社,保,音,技,英,数,保,社,理,社,社,道,国,数,社,国,英,理,技,家
1年5組,日生,保,保,自立,自立,YT,保,国,学,数,美,総,英,国,国,数,社,生単,作業,理,数,道,保,国,自立,社,理,保,数,英
1年6組,国,英,英,数,自立,YT,英,理,社,数,家,保,数,技,数,保,国,理,数,音,国,道,音,社,英,美,保,技,社,理
1年7組,国,国,理,自立,数,YT,保,数,英,社,国,理,家,理,英,社,技,音,国,保,理,道,音,英,理,数,美,英,自立,国
2年1組,国,社,英,保,理,YT,数,総,英,音,国,家,国,数,美,技,音,英,保,数,英,道,社,国,保,社,国,理,音,保
2年2組,数,国,英,音,社,YT,理,総,社,保,英,国,理,国,保,数,美,社,英,理,保,道,国,社,家,英,技,音,社,理
2年3組,理,社,家,技,国,YT,総,国,技家,数,音,音,英,保,理,音,社,数,美,国,社,道,音,英,理,社,国,美,数,英
2年5組,日生,保,保,自立,自立,YT,保,国,学,数,美,総,英,国,国,数,社,生単,作業,理,数,道,保,国,自立,社,理,保,数,英
2年6組,技,社,家,技,国,YT,総,国,技家,数,音,美,英,自立,理,音,社,数,美,国,社,道,音,英,理,社,国,美,自立,英
2年7組,数,国,英,音,社,YT,理,総,自立,保,英,国,理,国,保,数,美,社,英,理,保,道,国,社,保,英,技,音,社,理
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3年1組,数,英,国,社,保,YT,英,社,学総,学総,数,総,音,理,英,美,国,社,数,理,道,学総,音,学総,英,理,国,学総,保,技
3年2組,数,数,社,英,自立,YT,数,社,学総,学総,保,理,社,美,国,数,英,理,国,英,道,学総,理,学総,国,保,英,学総,音,社
3年3組,音,英,保,数,理,YT,国,理,学総,学総,社,総,英,社,技,国,理,音,社,国,道,学総,英,学総,社,数,音,学総,英,保
3年5組,日生,保,保,自立,自立,YT,保,国,学,数,美,総,英,国,国,数,社,生単,作業,理,数,道,保,国,自立,社,理,保,数,英
3年6組,音,英,自立,数,理,YT,国,理,学総,学総,社,総,自立,社,技,国,理,英,社,国,道,学総,自立,学総,社,数,音,学総,英,保
3年7組,数,数,社,英,国,YT,国,国,学総,学総,自立,理,社,美,国,自立,理,理,国,英,道,学総,理,学総,国,保,英,学総,音,英
