"基本時間割","月","月","月","月","月","月","火","火","火","火","火","火","水","水","水","水","水","水","木","木","木","木","木","木","金","金","金","金","金","金"
"","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"1年1組","英","保","技家","国","数","欠","社","音","国","数","家","欠","理","数","社","保","国","欠","数","技","国","道","英","YT","英","美","保","総","社","欠"
"1年2組","英","保","技家","社","音","欠","社","音","国","家","英","欠","理","数","国","音","英","欠","国","英","理","道","数","YT","数","保","美","総","国","欠"
"1年3組","英","保","技家","家","国","欠","社","音","国","理","数","欠","理","数","英","国","音","欠","保","社","英","道","国","YT","美","数","音","総","英","欠"
"1年5組","日生","国","数","英","保","社","自立","理","数","日生","技","英","自立","数","理","作業","美","国","作業","社","音","自立","保","日生","自立","理","作業","社","家","国"
"1年6組","英","保","技家","国","自立","欠","社","音","国","数","家","欠","理","数","社","保","国","欠","数","技","国","道","英","YT","英","美","保","総","社","欠"
"1年7組","英","保","技家","社","音","欠","社","音","国","家","自立","欠","理","数","国","音","英","欠","国","英","理","道","数","YT","数","保","美","総","社","欠"
"2年1組","数","技家","社","保","理","欠","国","保","理","音","数","欠","英","音","","技","保","欠","理","国","美","道","数","YT","保","社","英","総","","欠"
"2年2組","数","技家","社","音","国","欠","国","保","理","技","社","欠","英","音","保","理","数","欠","英","美","保","道","国","YT","国","英","数","総","理","欠"
"2年3組","数","技家","社","技","保","欠","国","保","理","英","音","欠","英","音","数","国","社","欠","美","理","国","道","英","YT","数","家","社","総","国","欠"
"2年5組","日生","国","数","英","保","社","自立","理","数","日生","技","英","自立","数","理","作業","美","国","作業","社","音","自立","保","日生","自立","理","作業","社","家","国"
"2年6組","数","技家","社","技","保","欠","国","保","理","英","音","欠","英","音","数","理","社","欠","美","理","英","道","国","YT","英","家","社","総","理","欠"
"2年7組","数","技家","社","音","自立","欠","国","保","理","技","自立","欠","英","音","保","理","数","欠","英","美","保","道","数","YT","数","英","国","総","理","欠"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3年1組","国","音","理","英","数","社","数","英","技家","保","理","家","保","社","美","英","学総","技","国","数","道","保","社","YT","音","国","理","総","","欠"
"3年2組","国","音","理","数","社","","数","英","技家","国","社","保","保","社","国","家","学総","理","保","英","道","美","技","YT","数","理","国","総","英","欠"
"3年3組","国","音","理","","英","国","数","英","技家","社","美","国","保","社","技","理","学総","国","社","保","道","数","理","YT","英","","数","総","保","欠"
"3年5組","日生","国","数","英","保","社","自立","理","数","日生","技","英","自立","数","理","作業","美","国","作業","社","音","自立","保","日生","自立","理","作業","社","家","国"
"3年6組","国","音","理","","社","自立","数","英","技家","社","美","","保","社","技","理","学総","自立","社","","道","数","英","YT","英","国","数","総","","欠"
"3年7組","国","音","理","数","社","自立","数","英","技家","理","社","自立","保","社","英","家","学総","","","英","道","美","技","YT","数","英","社","総","国","欠"
