"基本時間割","月","月","月","月","月","月","火","火","火","火","火","火","水","水","水","水","水","水","木","木","木","木","木","木","金","金","金","金","金","金"
"","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6","1","2","3","4","5","6"
"1年1組","英","家","技家","","理","","理","","","社","美","国","英","数","","","","","英","","保","","","","社","数","国","","",""
"1年2組","数","","技家","","","","英","","社","","","","国","家","","保","","","理","国","数","美","","","国","英","数","","",""
"1年3組","","","技家","英","","","","家","","","社","英","社","","","理","","","社","数","","","","","","国","","数","","保"
"1年5組","自立","保","英","社","数","国","自立","保","理","国","英","社","自立","保","家","国","理","数","自立","保","理","国","作業","家","自立","保","理","国","数","英"
"1年6組","","数","技家","自立","保","理","家","社","","数","","保","","英","保","","美","理","","","","社","","","","自立","","","国",""
"1年7組","国","","技家","","","","","自立","保","","","数","家","国","","","保","","","自立","国","","","社","理","","社","","美",""
"2年1組","保","技家","","国","","社","","","数","","","","保","理","英","数","国","","","理","","数","","国","","社","英","","保","理"
"2年2組","","技家","理","","","","","","","","国","","","","社","美","","","保","","","","英","","","理","","保","",""
"2年3組","","技家","","","英","美","","","","","数","","","","","","英","","","社","","","","保","","","保","","",""
"2年5組","自立","保","英","社","数","国","自立","保","理","国","英","社","自立","保","家","国","理","数","自立","保","理","国","作業","家","自立","保","理","国","数","英"
"2年6組","理","技家","家","数","美","","社","国","","","","","","","自立","","","","","英","社","保","","","","","","理","",""
"2年7組","家","技家","","","","英","国","","自立","理","","","","","数","","社","","国","","自立","英","数","美","保","","","","英",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3年1組","","社","保","","","","数","理","技家","","","","","","国","英","数","社","","","","理","社","","","","","英","理","数"
"3年2組","社","","","理","","数","","","技家","保","","","数","","","","","保","","","","","国","英","","","","美","社",""
"3年3組","","","","","","保","","数","技家","英","保","美","理","社","","","","英","数","","","","保","理","","","","社","","国"
"3年5組","自立","保","英","社","数","国","自立","保","理","国","英","社","自立","保","家","国","理","数","自立","保","理","国","作業","家","自立","保","理","国","数","英"
"3年6組","","国","数","","社","","保","英","技家","","理","","","自立","理","","","国","","","","","","","英","","自立","","","社"
"3年7組","","英","自立","保","国","","","","技家","自立","","理","","","","社","","美","","","英","","理","数","数","","","","",""
