基本時間割,月,月,月,月,月,月,火,火,火,火,火,火,水,水,水,水,水,水,木,木,木,木,木,木,金,金,金,金,金,金
,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
1年1組,英,保,技,国,数,欠,社,音,家,数,美,欠,理,数,保,英,国,欠,数,社,国,道,英,YT,英,国,社,総,理,欠
1年2組,国,保,技,数,社,欠,社,音,英,美,家,欠,理,数,国,音,英,欠,国,英,理,道,数,YT,数,保,英,総,社,欠
1年3組,英,保,技,音,数,欠,社,音,保,理,国,欠,理,数,英,国,社,欠,社,数,英,道,国,YT,美,数,国,総,英,欠
1年5組,日生,国,数,英,社,欠,自立,理,国,英,家,欠,国,理,技,数,美,欠,作業,国,音,道,保,YT,自立,理,自立,総,数,欠
1年6組,英,保,技,国,自立,欠,社,音,家,数,美,欠,理,数,保,英,国,欠,数,社,国,道,英,YT,英,国,社,総,理,欠
1年7組,国,保,技,数,社,欠,社,音,英,自立,家,欠,理,数,国,音,英,欠,国,英,理,道,数,YT,数,保,英,総,社,欠
2年1組,数,技家,英,社,理,欠,国,保,保,道,数,欠,英,音,理,社,国,欠,理,国,美,社,英,YT,理,英,保,総,国,欠
2年2組,数,技家,社,理,英,欠,国,保,国,道,保,欠,英,社,保,理,国,欠,英,国,保,数,音,YT,英,数,社,総,美,欠
2年3組,数,技家,社,理,英,欠,国,保,国,道,社,欠,英,音,理,英,保,欠,美,理,英,数,社,YT,理,英,国,総,保,欠
2年5組,日生,国,数,英,社,欠,自立,国,音,道,自立,欠,自立,理,技,数,美,欠,作業,国,数,道,保,YT,国,理,理,総,家,欠
2年6組,数,技家,社,理,英,欠,国,保,自立,道,自立,欠,英,音,理,英,保,欠,美,理,英,数,社,YT,理,英,国,総,保,欠
2年7組,数,技家,社,理,自立,欠,国,保,国,道,保,欠,英,社,保,理,国,欠,英,国,保,数,自立,YT,英,数,社,総,美,欠
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3年1組,国,音,理,家,道,社,数,社,英,保,英,YT,保,社,美,英,学総,国,理,国,数,技家,社,YT,社,数,英,総,理,欠
3年2組,国,音,理,英,英,数,数,英,数,理,社,YT,保,社,英,国,学総,数,社,英,道,美,理,YT,理,英,技家,総,国,欠
3年3組,技家,音,理,数,数,英,理,英,国,数,社,YT,保,理,社,美,学総,英,保,社,道,理,数,YT,英,国,国,総,社,欠
3年5組,日生,国,数,英,社,欠,数,理,自立,国,英,欠,自立,国,技,数,美,欠,作業,国,音,道,保,YT,自立,理,理,総,家,欠
3年6組,技家,音,理,数,数,英,理,英,国,数,社,YT,保,理,社,美,学総,英,保,社,道,理,数,YT,英,国,国,総,社,欠
3年7組,国,音,理,英,英,数,数,英,数,理,社,YT,保,社,英,国,学総,数,社,英,道,美,理,YT,理,英,自立,総,国,欠
